Name,Details,Matriculation Year,Placename
"Clattery, Thomas","of London, gent. Balliol Coll., matric. 16 July, 1621, aged 19.",1621,london
"Clavell, John","of Dorset, arm. fil. nat. max. Brasenose Coll., matric. 19 Nov., 1619, aged 18; son of John, of Glanvilles Wotton, and nephew of Sir William Clavell, knight banneret; baptized at Glanvilles Wotton in 1601, admon. to his father 1623, turned highwayman, apprehended in 1627, condemned to death, pardoned, and died in 1642. See Hutchins' Dorset, i. 570; & D.N.B.",1619,dorset
"Claver, Francis","of Bucks, gent. Magdalen Coll., matric. 26 June, 1621, aged 18; demy 1619-29, B.A. 14 July, 1621, M.A. 26 June, 1624, fellow 1629-33, B.D. 24 July, 1633, rector of Keighley, Yorks, 1636, and of Londesborough 1640. See Foster's Index Ecclesiasticus & Bloxam, v. 82.",1621,bucks,yorks
"Claver, John","of Bucks, gent. Magdalen Coll., matric. 16 Nov., 1604, aged 14; of the Inner Temple 1608, as of Foscot, Bucks, late of Clifford's Inn, gent. See Foster's Inns of Court Reg.",1604,bucks
"Clay, Henry","s. George, of Womersley, Yorks, sacerd. Magdalen Hall, matric. 16 April, 1624, aged 15, B.A. 1 June, 1627; M.A. from Wadham Coll. 15 April, 1630, B.D. 16 March, 1640-1. See Burrows, 165, 197.",1624,yorks
"Clay, Robert","of Devon, 'cler. fil.' Balliol Coll., matric. 23 Oct., 1618, aged 18; B.A. from St. Alban Hall 25 Oct., 1621 (as Clea), vicar of Littleham, Devon, 1634. See Foster's Index Ecclesiasticus. [30]",1618,devon
"Claybrooke, William","of Somerset, arm. (2nd son). Balliol Coll., matric. 15 Oct., 1619, aged 16; B.A. 28 June, 1622, M.A. 21 May, 1625, rector of Pwll-Crochon, co. Pembroke, 1628, and of Bicknor English 1630. See Foster's Index Ecclesiasticus.",1619,somerset,pembroke
"Clayton, Ralph","of Yorks, pleb. Lincoln Coll., matric. 15 March, 1604-5, aged 16.",1604,yorks,lincoln
"Clayton, Richard (Cleyton)","of London, gent. Hart Hall, matric. 1 July, 1603, aged 16.",1603,london
"Clayton, Richard","of Yorks, gent. University Coll., matric. 3 July, 1618, aged 15; B.A. from Broadgates Hall 1 March, 1621-2, M.A. 10 June, 1624; fellow of University Coll., B.D. and licenced to preach 4 July, 1639, D.D. 31 May, 1666, master 1665-76, rector of Shawell, co. Leicester, 1623, vicar of Great Wilbraham, co. Cambridge, 1628, rector of Shellingford, Berks, 1639, canon residentiary of Salisbury 1661, died 10 June, 1676, will proved at Oxford 6 July, 1676. See Fasti, ii. 291; & Foster's Index Ecclesiasticus.",1618,yorks,leicester,cambridge,berks,oxford
"Cleator, William (Cleter)","of Cumberland, pleb. Queen's Coll., matric. 9 Nov., 1621, aged 19.",1621,cumberland
"Cleaveley, John","of co. Gloucester, pleb. Magdalen Coll., matric. 16 Nov., 1621, aged 18; B.A. from Magdalen Hall 23 Oct., 1623; M.A. from Hart Hall 5 July, 1627, rector of Beechingstoke, Wilts, 1630. See Foster's Index Ecclesiasticus.",1621,gloucester,wilts
"Cleaver, John","of Bucks, pleb. St. Edmund Hall, matric. 24 April, 1618, aged 18; B.A. 17 Oct., 1621, M.A. 2 June, 1624, fellow of Eton College 1635, vicar of New Windsor, Berks, 1633. See Foster's Index Ecclesiasticus.",1618,bucks,berks
"Cleaver, Samuel","of co. Oxon, 'cler. fil.' Magdalen Hall, matric. 28 April, 1615, aged 18.",1615,oxon
"Cleaver, Simon (Clever)","of London, pleb. St. Edmund Hall, matric. 21 Nov., 1617, aged 17; B.A. 17 Oct., 1620, M.A. 18 June, 1623. [20]",1617,london
"Cleeves, Edward","of Dorset, gent. Christ Church, matric. 12 Oct., 1621, aged 17; B.A. from Pembroke Coll. 19 Oct., 1624, M.A. 1 June, 1627.",1621,dorset,pembroke
"Cleeves, Swithune","of Dorset, pleb. Hart Hall, matric. 17 Nov., 1609, aged 15; B.A. from Broadgates Hall 21 Jan., 1612-13, M.A. 21 June, 1615, rector of Rampisham, Dorset, 1615, and of Lytchett Matravers 1618. See Foster's Index Ecclesiasticus.",1609,dorset
"Clement, John","of Dorset, 'cler. fil.' Brasenose Coll., matric. 26 May, 1609, aged 16; B.A. 1 July, 1612, M.A. 3 May, 1615, rector of South Perrot, Dorset, 1616, canon of Wells 1619, father of the next. See Foster's Index Ecclesiasticus.",1609,dorset
"Clement, Thomas","of Dorset, 'cler. fil.' Brasenose Coll., matric. 3 July, 1612, aged 16; B.A. 21 June, 1615, M.A. 3 June, 1618, rector of Chilfrome and Wroxall 1620, and of Nether Compton, Dorset, 1631, perhaps father of Paul 1643, and Thomas 1645. See Foster's Index Ecclesiasticus.",1612,dorset
"Clench, John","of Salop, pleb. Exeter Coll., matric. 15 April, 1603, aged 15; B.A. from Broadgates Hall 10 Nov., 1606, M.A. 4 July, 1609, vicar of Combe, Hants, 1625, father of the next named. See Foster's Index Ecclesiasticus.",1603,salop,hants
"Clentt, John","of co. Worcester, gent. Balliol Coll., matric. 11 May, 1615, aged 20; bar.-at-law, Middle Temple, 1623, as son and heir of John, of Knightwick, co. Worcester, gent. See Foster's Judges and Barristers.",1615,worcester
"Clentt, Thomas","of co., Worcester, gent. Balliol Coll., matric. 11 May, 1615, aged 18; B.A. 23 June, 1617, M.A. 11 May, 1620, rector of Martley, co. Worcester, 1626, canon of Hereford 1631. See Foster's Index Ecclesiasticus.",1615,worcester,hereford
"Cleobury, Henry","of Salop, pleb. Christ Church, matric. 8 June, 1604, aged 18.",1604,salop
"Clere, Luke","of co. Kilkenny, gent. Broadgates Hall, matric. 1 July, 1603, aged 16; of Lincoln's Inn 1606. See Foster's Inns of Court Reg.",1603,kilkenny
"Clexton, Josias","of Oxon, pleb. New Coll., matric. 15 June, 1604, aged 11; signature more like Clooston, but see O.H.S., xi. 274. [30]",1604,oxon
"Cliffe, Edward (Clyffe)","of Essex, arm. Wadham Coll., matric. 19 June, 1618, aged 17; scholar 1617-27, B.A. 6 Dec., 1621, M.A. 22 June, 1624, 3rd son of John, of Ingerstone (visitation 1612), rector of East Horndon, Essex, 1626, brother of John 1617. See Foster's Index Ecclesiasticus & Gardiner, 52.",1618,essex
"Cliffe, John (Clyffe)","of Essex, arm. Wadham Coll., matric. 21 Feb., 1616-17, aged 19; of the Middle Temple 1620, as son and heir of John, of Ingatestone, Essex; brother of Edward 1618. See Foster's Inns of Court Reg.",1616,essex
"Cliffe, William","s. Edward, of East Woodhall, Hants, gent. Broadgates Hall, matric. 23 May, 1623, aged 20, B.A. 18 June, 1623; M.A. from Pembroke Coll. 28 April, 1626.",1623,hants,pembroke
"Clifford, Anthony","of co. Gloucester, pleb. St. Alban Hall, matric. 22 Nov., 1616, aged 17.",1616,gloucester
"Clifford, Henry","Baron of Skypton. Christ Church, matric. 30 Jan., 1606-7, aged 15; B.A. 16 Feb., 1608-9, 5th Earl of Cumberland 1641-3, entered at Gray's Inn 1610, K.B. at the creation of the Prince of Wales 3 June, 1610, M.P. Westmorland 1614, 1621-2, summoned to parliament as Baron Clifford 17 Feb., 1628, died at York 11 Dec., 1643. See Ath., iii. 80; & D.N.B.",1606,cumberland,westmorland,york
"Clifford, Hugh","of Devon, doctoris fil. Exeter Coll., matric. 3 May, 1621, aged 17; B.A. 14 June, 1621, M.A. 22 April, 1624, of Chudleigh, admitted to the Middle Temple 1621 (as son of Thomas, of Chudleigh, Devon, s.t.d.), an officer in the army, buried at Chudleigh 12 Feb., 1639-40, brother of Thomas same date, and father of Thomas 1647. See Foster's Inns of Court Reg. [15]",1621,devon
"Clifford, Joseph","of co. Gloucester, 'cler. fil.' Magdalen Hall, matric. 23 June, 1621, aged 19; B.A. 18 June, 1623, vicar of Curdworth, co. Warwick, 1626, rector of Little Burstead, Suffolk, 1643. See Foster's Index Ecclesiasticus & Add. MSS., 15,669-71.",1621,gloucester,warwick,suffolk
"Clifford, Richard","of Northants, pleb. Christ Church, matric. 8 June, 1621, aged 15; B.A. 13 Dec., 1624, M.A. 30 June, 1627.",1621,northants
"Clifforde, Thomas","of Devon, doctoris fil. Exeter Coll., matric. 4 May, 1621, aged 15; B.A. 17 Feb., 1624-5, M.A. 13 May, 1628, vicar of Brent, Devon, 1632-7, vicar of Harberton, Devon, 1633-7, canon of Exeter 1637, until his death, buried at Chudleigh 16 Jan., 1637-8, brother of Hugh same date. See Foster's Index Ecclesiasticus.",1621,devon
"Clifford, William","of co. Gloucester, 'cler. fil.' Trinity Coll., matric. 27 Nov., 1607, aged 17; B.A. from Magdalen Coll. 11 Dec., 1612, M.A. 10 July, 1618, vicar of Curdworth, co. Warwick, 1619, rector of Yarlington, Somerset, 1628, rector of East Knoyle, father of Samuel 1652. See Calamy, iii. 365; & Foster's Index Ecclesiasticus.",1607,gloucester,warwick,somerset
"Clifton, Robert","s. George, of Worplesdon, Surrey, pleb. Magdalen Hall, matric. 13 Feb., 1623-4, aged 16.",1623,surrey
"Clipsam, Francis (Clypsam)","of Northants, pleb. Magdalen Coll., matric. 15 June, 1604, aged 18; B.A. 9 Dec., 1607, vicar of Cold Ashby, Northants, 1611, rector of Thornby 1624. See Foster's Index Ecclesiasticus.",1604,northants
"Clitherow, Henry (Cletherowe)","of London, arm. fil. nat. max. St. John's Coll., matric. 10 March, 1619-20, aged 18; B.A. 18 Dec., 1620, '6 years in gymnasio Dantiscano.'",1619,london
"Clive, Thomas (Clyve)","of Salop, gent. St. Mary Hall, matric. 25 Oct., 1605, aged 21; perhaps of Walford, Salop, father of Edward of the same, aged 34 in 1623.",1605,salop
"Cloche, Stephen La","of Isle of Jersey, pleb. Broadgates Hall, matric. 10 June, 1610, aged 23. [5]",1610,jersey
"Clopton, Anthony","of co. Gloucester, pleb. Corpus Christi Coll., matric. 7 Nov., 1606, aged 13; B.A. 12 Oct., 1611, M.A. 24 Jan., 1614-15, B.D. 7 July, 1624, D.D. 14 May, 1634 (as Clapton), vicar of Stanford-in-the-Vale with Gosfield, Berks, 1625, rector of Stamford Dingley, Berks, 1626, and of Childrey, Berks, 1631. See Foster's Index Ecclesiasticus.",1606,gloucester,berks
"Clotworthy, Nathaniel","of Devon, arm., fil. nat. max. St. Edmund Hall, matric. 12 Oct., 1604, aged 17; B.A. from Broadgates Hall 3 Dec., 1607, M.A. 12 June, 1610, of Middle Temple 1609, as son and heir of Simon, of Clotworthy, Devon. See Foster's Inns of Court Reg. [15]",1604,devon
"Clutterbuck, John (Clutterbooke)","of London, gent. Christ Church, matric. 10 June, 1618, aged 16; a student (from Westminster School) 1616, B.A. 26 June, 1620, M.A. 26 June, 1623, created B.D. 1 or 2 Nov., 1642. See Alumni West., 85.",1618,london,westminster
"Clutterbuck, Samuel (Clotterbooke)","of co. Gloucester, pleb. Magdalen Hall, matric. 16 June, 1610, aged 18, B.A. 18 Jan., 1611-12; fellow of Magdalen Coll. 1615, M.A. 3 July, 1616, rector of Dinton, Bucks, 1622 (3rd son of Richard or William, of Eastington, co. Gloucester), father of Thomas 1639. See Foster's Index Ecclesiasticus.",1610,gloucester,bucks
"Clutton, Richard","of Cheshire, gent. Brasenose Coll., matric. 19 June, 1610, aged 17; bar.-at-law, Gray's Inn, 1620, as of Nantwich, Cheshire. See Foster's Judges and Barristers.",1610,cheshire
"Cobbe, Michael","of Southants, gent. Trinity Coll., matric. 15 Oct., 1619, aged 17.",1619,southants
"Cobb, (Sir) William","of London. Balliol Coll., matric. 3 June, 1608, aged 17 (as arm.); of Adderbury, Oxon, created M.A. 12 April, 1648, one of the parliamentary visitors of the University, admitted to the Middle Temple 1610 (as son and heir of William, of Lincoln's Inn, deceased), knighted 15 June, 1624, buried at Adderbury 16 March, 1658, father of Francis 1651, Thomas 1663, Arthur 1665, and William next named. See Foster's Inns of Court Reg.",1608,london,oxon
"Cobbett, Thomas","of co. Oxon, pleb. Lincoln Coll., matric. 25 Oct., 1616, aged 16.",1616,oxon,lincoln
"Cockram, Bruen","of Dorset, pleb. Oriel Coll., matric. 11 Oct., 1611, aged 20; 'paup. schol.,' B.A. 30 June, 1614, M.A. 23 June, 1617, rector of Swanage, Dorset, 1614, father of John 1664. See Foster's Index Ecclesiasticus.",1611,dorset
"Cockes, George","of co. Stafford, gent. Balliol Coll., matric. 28 June, 1604, aged 16.",1604,stafford
"Cockes, Isaac","of Somerset, arm. Queen's Coll., matric. 20 Jan., 1608-9, aged 16; of Lincoln's Inn 1611, as son of Richard Cox, of Westminster. See Foster's Inns of Court Reg.",1608,somerset,westminster
"Codrin(g)ton, John","of co. Gloucester, arm. Balliol Coll., matric. 8 March, 1604-5, aged 15; bar.-at-law, Inner Temple, 1617, as of Codrington, co. Gloucester, gent. (son of Herbert or Robert), died 25 Sept., 1670, father of Robert 1666, and of John next named. See Foster's Judges and Barristers. [30]",1604,gloucester
"Codrington, Robert","of co. Gloucester, gent. Magdalen Coll., matric. 26 June, 1621, aged 19; demy 1619-27, B.A. 18 Feb., 1622-3, M.A. 27 June, 1626 (2s. Robert, of Codrington, co. Gloucester), settled on a property in Norfolk, died of the plague in London in 1665. See Ath., iii. 699; Bloxam, v. 100; & D.N.B.",1621,gloucester,norfolk,london
"Cogan, Richard","of Somerset, pleb. Magdalen Hall, matric. 1 July, 1603, aged 17; vicar of Othery, Somerset, 1616. See Foster's Index Ecclesiasticus. [15]",1603,somerset
"Cogan, Thomas","of Oxon, gent. Exeter Coll., matric. 16 Oct., 1607, aged 15. See Notes and Queries, 1877, ii. 255.",1607,oxon
"Cogram, William","s. Oliver, of London, pleb. New Coll., matric. 27 Oct., 1615, aged 19; exhibitioner 1613-21, B.A. 4 Feb., 1618-19, died in Aug., 1621. See St. Paul's School Reg., 33. [30]",1615,london
"Coker, Roger","of Dorset, arm. Trinity Coll., matric. 3 July, 1612, aged 19; B.A. 9 Feb., 1615-16. See Hutchins' Dorset.",1612,dorset
"Coker, William","of Dorset, arm. Wadham Coll., matric. 19 May, 1615, aged 16; of the Middle Temple 1616 (as son and heir of Robert, of Mapowder, Dorset), a royalist colonel of foot, and compounded, buried at Mapowder 12 April, 1656. See Gardiner, 28; & Foster's Inns of Court Reg.",1615,dorset
"Colbatch, Thomas","of Salop, pleb. Brasenose Coll., matric. 28 June, 1616, aged 20; B.A. 8 May, 1618, M.A. 19 April, 1621, rector of Ludlow, Salop, 1625. See Foster's Index Ecclesiasticus.",1616,salop
"Colcloughe, Thomas","of Ireland, 'militis fil.' Exeter Coll., matric. 11 July, 1606, aged 15; died before March 1609.",1606,ireland
"Colclough, William (Colecloughe)","of co. Stafford, pleb. Christ Church, matric. 17 Nov., 1609, aged 18; B.A. 8 July, 1613, of Gray's Inn 1613 (as son and heir of John, of Owercok, co. Stafford), died 1662, erroneously said to have been an utter barrister. See Foster's Gray's Inn Reg. [15]",1609,stafford
"Cole, Andrew","of Somerset, pleb. Magdalen Coll., matric. 22 June, 1610, aged 18; B.A. 4 Nov., 1611, M.A. 5 July, 1614, then in orders, rector of Bathwick and Wolley, Somerset, 1623-42, rector of Cold Ashton, co. Gloucester, 1642, See Foster's Index Ecclesiasticus.",1610,somerset,gloucester
"Cole, Anthony","of Devon, pleb. Exeter Coll., matric. 19 June, 1607, aged 16; B.A. 24 Jan., 1610-11, rector of St. Mary Tavy, Devon, 1620. See Foster's Index Ecclesiasticus.",1607,devon
"Cole, Edward","of Oxon, pleb. Corpus Christi Coll., matric. 13 July, 1621, aged 16; B.A. 4 Feb., 1623-4, M.A. 4 July, 1626. [35]",1621,oxon
"Cole, Giles","of London, pleb. New Coll., matric. 15 June, 1604, aged 11.",1604,london
"Cole, John","of co. Southampton, gent. New Coll., matric. 31 Oct., 1606, aged 17; B.A. 24 April, 1610, M.A. 22 Jan., 1613-14, B.D. 14 Feb., 1621-2, vicar of Hursley, Hants, 1616, rector of Michelmersh 1622, father of John 1643, and William 1602. See Foster's Index Ecclesiasticus.",1606,southampton,hants
"Cole, Richard","of Bristol, gent. Queen's Coll., matric. 7 Dec., 1604, aged 15; B.A. 23 June, 1608 (as Coles); of the Middle Temple 1607, as son and heir of William, of Bristol, gent. See Foster's Inns of Court Reg. [30]",1604,bristol
"Cole, Robert","s. George, of Petersham, Surrey, gent. Queen's Coll., matric. 14 Feb., 1622-3, aged 16; bar.-at-law, Middle Temple, 1631. See Foster's Judges and Barristers.",1622,surrey
"Cole, Thomas","of Cornwall, gent. Broadgates Hall, matric. 22 March, 1604-5, aged 23; one of these names bar.-at-law, Gray's Inn, 1611. See Foster's Judges and Barristers.",1604,cornwall
"Cole, Thomas","of co. Gloucester, gent. Balliol Coll., matric. 15 Nov., 1605, aged 14. [5]",1605,gloucester
"Cole, Thomas","of Oxon, gent. Oriel Coll., matric. 27 Oct., 1615, aged 12; B.A. 28 Jan., 1618-19, fellow, M.A. 17 June, 1625, B.C.L. (sup. 7 July) 1632, created D.C.L. 1 or 2 Nov., 1642, perhaps rector of Ewelme, Oxon, 1659, father of William 1653. See Foster's Index Ecclesiasticus.",1615,oxon
"Cole, Thomas","2s. Ralph, of Gateshead, co. Durham, gent. University Coll., matric. 20 May, 1625, aged 14; B.A. 22 Jan., 1628-9, M.A. 10 Nov., 1631, incorp. at Cambridge 1636, inventory at Oxford 10 Nov., 1652.",1625,durham,cambridge,oxford
"Cole, William","of Berks, 'cler. fil.' Christ Church, matric. 10 Nov., 1621, aged 30.",1621,berks
"Coleman, George","of co. Gloucester, pleb. Oriel Coll., matric. 7 June, 1611, aged 18,' paup. schol.'; B.A. 26 Jan., 1615-16. [31]",1611,gloucester
"Colman, John","of Oxon, pleb. Brasenose Coll., matric. 31 Oct., 1606, aged 17.",1606,oxon
"Coleman, Thomas","of Oxon, pleb. Magdalen Hall, matric. 28 April, 1615, aged 17; B.A. 10 June, 1618, M.A. 6 July, 1621, ' Rabbi Coleman,' an accomplished Hebraist, rector of Blyton, co. Lincoln, 1623-42, became a grand covenanter, one of the assembly of divines, rector of St. Peter's, Cornhill, 1645, until his death, buried there 30 March, 1646. See Ath., iii. 211; Foster's Index Ecclesiasticus; Add. MSS., 15,669 and 15,670; & D.N.B.",1615,oxon,lincoln
"Colepeper, Cheinie","of Kent, arm. Hart Hall, matric. 6 Nov., 1618, aged 17; B.A. 7 Feb., 1619-20 (then ' eq. aur. fil.'), of the Middle Temple 1621 (as only son of Thomas, of Hollingbourne, Kent, knight), buried in the Temple Church 2 April, 1663. See Foster's Inns of Court Reg. [10]",1618,kent
"Colepeper, John (Culpeper)","of Sussex, arm. (2nd son). Hart Hall, matric. 26 April, 1616, aged 15; of the Middle Temple 1617, as 2nd son of Thomas, late of Wigsell, Sussex, esq., deceased; brother of Slaney same date. See Foster's Inns of Court Reg. [20]",1616,sussex
"Colepeper, Slaney (Culpeper)","of Sussex, arm. fil. nat. max. Hart Hall, matric. 26 April, 1616, aged 17; of the Middle Temple 1617, as son and heir of Thomas, late of Wigsell, Sussex, esq., deceased: brother of John same date. See Foster's Inns of Court Reg.",1616,sussex
"Colepeper, William","of Kent, militis fil. St. Alban Hall, matric. 31 Oct., 1606, aged 18: B.A. 11 May, 1609, of Gray's Inn 1611, as son and heir of Thomas, of Aylesford, Kent, knight. See Foster's Inns of Court Reg.",1606,kent
"Colericke, Timothy","of co. Gloucester, ' cler. fil.' St. Alban Hall, matric. 13 Oct., 1615, aged 18.",1615,gloucester
"Coles, Christopher","of Berks, pleb. St. John's Coll., matric. 16 June, 1610, aged 18; B.A. 28 June, 1610, M.A. 8 July, 1613, vicar of Finedon, Northants, 1615, etc. See Foster's Index Ecclesiasticus.",1610,berks,northants
